Course Name,Course Type,Semester,Paper Code,Paper Name
B.Sc. Botany,Major & Minor,Semester I,BOTN 1011 & BOTN 1021,Plant Diversity and Evolution
B.Sc. Botany,SEC,Semester I,BOTN 1051,Biofertilizer
B.Sc. Botany,Major & Minor,Semester II,BOTN 2011 & BOTN 2021,Biomolecules and Cell Biology
B.Sc. Botany,SEC,Semester II,BOTN 2051,Organic Cultivation and Protected Agriculture
B.Sc. Botany,Major,Semester III,BOTN 3011,Microbiology
B.Sc. Botany,SEC,Semester III,BOTN 3051,SEC
B.Sc. Botany,Major,Semester IV,BOTN 4011,Phycology
B.Sc. Botany,Major,Semester IV,BOTN 4012,Mycology
B.Sc. Botany,Major,Semester IV,BOTN 4013,Plant Pathology
B.Sc. Botany,Minor,Semester IV,BOTN 4021,Plant Physiology and Metabolism
B.Sc. Botany,Major,Semester V,BOTN 5012,Genetics and Plant Breeding
B.Sc. Botany,Major,Semester V,BOTN 5013,Molecular Biology
B.Sc. Botany,Major,Semester VI,BOTN 6012,Metabolism
B.Sc. Botany,Major,Semester VI,BOTN 6014,Plant Systematics
B.Sc. Botany,Major,Semester VII,BOTN 7011,Research Methodology & Ethics
B.Sc. Botany,Major,Semester VII,BOTN 7012,"Microbiology, Mycology and Plant Pathology"
B.Sc. Botany,Major,Semester VII,BOTN 7013,Archegoniates & Angiosperm Systematics
B.Sc. Botany,Major,Semester VII,BOTN 7014,"Plant Physiology, Biochemistry & Molecular Biology"
B.Sc. Botany,Minor,Semester VII,BOTN 7021,"Plant Biodiversity, Informatics & Environmental Sustainability"
B.Sc. Botany,Major,Semester VIII,BOTN 8011,Cytogenetics & Plant Breeding
B.Sc. Botany,Major,Semester VIII,BOTN 8012,Ecology and Evolutionary Biology
B.Sc. Botany,Major,Semester VIII,BOTN 8014,Phycology & Indian Knowledge System
B.Sc. Botany,Minor,Semester VIII,BOTN 8021,Plant Natural Resources & Economic Botany
